Date : 2024-06-08 02:47:57
Directory : c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos
Total : 59 files,  4555 codes, 166 comments, 316 blanks, all 5037 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\package.json                                    | JSON                  |         39 |          0 |          1 |         40 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\readme.md                                       | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\2024-06-08-01-create-users-table.ts         | TypeScript            |         36 |          5 |          4 |         45 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\index.ts                                    | TypeScript            |         17 |          6 |          7 |         30 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\migrations.ts                               | TypeScript            |         14 |          6 |          4 |         24 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\src\models\user.ts                              | TypeScript            |         14 |          5 |          5 |         24 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\database\tsconfig.json                                   | JSON with Comments    |         10 |         91 |          9 |        110 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\readme.md                                                | Markdown              |          0 |          0 |         -1 |         -1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\utilities\code_of_conduct.md                             | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\packages\utilities\readme.md                                      | Markdown              |          0 |          0 |          1 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\code_of_conduct.md                                  | Markdown              |         93 |          0 |         35 |        128 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\example.env                                         | Environment Variables |          4 |          0 |          0 |          4 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\package-lock.json                                   | JSON                  |         13 |          0 |          0 |         13 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\package.json                                        | JSON                  |          1 |          0 |          0 |          1 |
| c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\scripts\patch\start_script.bat                                    | Batch                 |          0 |          0 |          1 |          1 |
| Total                                                                                                               |                       |      4,555 |        166 |        316 |      5,037 |
+---------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
